,ID,sex,d15N,d13C
Neonig,KYA6,F,7.508773821,-19.40329504
Neonig,KYA7,F,6.770990624,-20.55376065
Neonig,KYA8,M,6.875731289,-19.18396581
Neonig,KYA9,M,6.473735935,-21.23587438
Neonig,KYB1,F,6.998754135,-19.10789472
Neosex,INE1,M,7.112691488,-16.97417804
Neosex,INE2,M,6.748994409,-16.25304235
Neomux,INE3,M,7.154656626,-16.17576696
Neomux,INE4,NA,6.524312582,-16.50215515
Cphgib,INE5,M,6.731536887,-20.46533705
Lamlem,INE6,F,6.976027104,-15.65109492
Lamlem,INE7,M,8.963140196,-17.14389486
Asplep,INF4,M,4.998536374,-11.47617388
Asplep,INF5,M,4.889493675,-11.41049312
Asplep,INF6,F,5.068302847,-13.0776783
Asplep,INF7,M,5.112076919,-10.93670559
Asplep,INF8,F,5.214438597,-10.9718884
Asplep,INF9,F,4.842752461,-11.33966303
Asplep,ING1,M,4.878799729,-12.34531051
Asplep,ING2,F,4.74503023,-12.68035945
Asplep,ING3,F,4.642290346,-11.34883192
Permic,ING4,NA,9.043815917,-15.20985727
Permic,ING5,NA,8.443304482,-15.6276354
Chabri,ING6,M,6.476826646,-12.16876053
Neomod,ING7,NA,6.412551541,-12.51815259
Telbra,ING8,M,4.700822377,-12.22500665
Telbra,ING9,M,3.76066312,-12.19239767
Cypkan,INH1,M,7.294405563,-21.36356236
Cypkan,INH2,M,6.737093114,-21.72194531
Cypkan,INH3,M,6.803185734,-21.75597507
Cypkan,INH4,NA,6.663773305,-21.44889348
Cypkan,INH5,NA,6.840285291,-21.57969772
Cypkan,INH6,NA,7.085464507,-21.6760629
Neosex,INI2,M,6.94294903,-14.97375947
Neosex,INI3,M,6.962637496,-16.44402085
Neosex,INI4,F,6.984600203,-16.68839724
Neosex,INI5,F,6.98195086,-17.12773355
Neosex,INI6,M,6.908408604,-16.55879475
Plestr,INI8,M,9.489057939,-18.86925235
Pethor,JBF8,F,3.545724393,-14.09431487
Pethor,JBF9,F,4.39090728,-15.43629123
Cphgib,JBG1,NA,6.44815657,-20.56662922
Troluk,KEI5,M,5.053272307,-14.8213014
Troluk,KEI6,F,4.498102467,-14.63047334
Troluk,KEI7,F,4.213267674,-15.10490975
Troluk,KEI8,F,4.091746874,-17.26694761
Plepar,KEI9,M,9.217513821,-15.61229572
Plepar,LEA1,M,9.482866914,-16.38570388
Plepar,LEA2,M,8.931104292,-14.49418117
XenspN,LEA5,M?,6.509156281,-15.7470675
XenspN,LEA6,F?,6.559991392,-16.79338079
XenspN,LEA7,F?,6.714910834,-16.05836121
XenspN,LEA8,M?,6.208833444,-16.26305789
XenspN,LEA9,M?,6.298906672,-16.81801989
XenspN,LEB1,F?,6.356775678,-16.15891914
XenspN,LEB2,F?,6.196661595,-18.42262664
XenspN,LEB3,M?,5.995543148,-16.28176315
Plepar,LEC6,NA,8.482704636,-18.51197799
Neopro,GPC8,NA,8.930371731,-18.40646215
Batmin,JEF4,NA,7.356451176,-20.35965226
Batmin,JEF5,NA,7.171359609,-19.97160022
Batmin,JEF6,NA,7.113644543,-19.46187572
Batmin,JEF8,NA,6.798980624,-19.47958893
Batmin,JEF9,NA,6.854761656,-19.56391331
Batmin,JEG2,NA,6.678600952,-19.36666686
Batfas,JEG4,NA,7.298680365,-19.93004247
Neocra,IVG3,NA,6.343985784,-22.82810764
Neocra,IVG5,NA,6.063190011,-22.74721057
Neocra,IVG6,NA,6.047183586,-22.91524765
Loblab,IVG8,NA,7.486569131,-17.81788084
Loblab,IVG9,NA,7.878663257,-16.72494104
Neopro,IVH3,NA,7.377678384,-20.04920846
Neocra,IVF9,NA,5.888417762,-23.49758737
Neocra,IVG1,M,5.710906164,-23.51798869
Neocra,IVG2,M,6.485231144,-22.82785808
Neocra,IVG4,M,5.940872846,-23.08386616
Neocra,IVG7,F,6.267023537,-22.62190656
Neocra,IVF8,NA,6.193658709,-23.30022683
Mdcrot,IVI8,NA,5.470619477,-23.50823625
Mdcrot,IVI9,NA,5.397363739,-23.84987993
Mdcrot,IWA1,NA,5.618896866,-23.5905403
Mdcrot,IWA2,NA,5.427569515,-23.69130459
Mdcrot,IWA3,NA,5.687943067,-23.23403017
Mdcrot,IWA4,NA,5.676825467,-23.52374139
Neoobs,IWA8,M,7.358500634,-20.7023861
Neoobs,IWA9,M,7.445127905,-20.25577659
Neoobs,IWB1,M,7.293348252,-20.96417992
Neoobs,IWB2,F,6.527455517,-21.37464497
Neofur,IWC4,NA,6.864894394,-18.3325886
Neofur,IWC5,NA,6.870780856,-19.76102501
Pettre,IWC9,M,4.260704319,-15.39754408
Pettre,IWD1,F,4.620430499,-15.31197326
Pettre,IWD2,F,4.498031548,-16.84250528
Pettre,IWD3,F,5.145909619,-15.95467016
Pettre,IWD4,F,4.655765506,-16.98868344
Xenpap,IVH5,F,7.135187573,-19.31706198
Xenpap,IVH6,NA,6.948070616,-20.5052938
Xenpap,IVH8,NA,6.495891275,-19.44166624
Xenpap,IVH9,NA,7.065992318,-21.13193293
Xenpap,IVI1,NA,7.390104003,-20.12290248
Neotoa,KCC9,NA,6.803604603,-18.23831997
Xenpap,IVI2,NA,6.729262351,-18.93542307
Xenpap,IVI3,NA,6.818862778,-20.93410962
Xenpap,IVI4,NA,6.309430514,-20.00009277
Xenpap,IVI5,NA,6.356716554,-20.98790774
Plestr,IWB3,NA,9.313210839,-20.88402043
Pethor,IWB6,F,3.726726059,-17.04429494
Pethor,IWB7,F,4.462220886,-17.12290368
Pethor,IWB8,F,4.205766542,-18.63595261
Pethor,IWB9,F,3.736277179,-19.1497299
Pethor,IWC1,F,4.121035552,-19.91392328
Pethor,IWC2,F,4.04473835,-16.86164937
Gnapfe,IWC7,NA,5.844079372,-19.5115574
Lamlem,ILA1,NA,6.48550691,-18.32231693
Neocal,ILA2,M,6.873988444,-21.5939729
Neocal,ILA3,M,6.951270825,-21.59295387
Neocal,ILA4,M,7.011887147,-21.40545226
Neocal,ILA5,M,6.674371545,-21.15782785
Neocal,ILA6,M,6.950544778,-21.49308888
Neocal,ILA9,M,7.049425737,-21.86778777
Neocal,ILB1,M,6.934437581,-21.40527295
Neolap,ILB2,M,6.945061707,-17.98425358
Neolap,ILB3,F,6.009555902,-17.85435733
Lepatt,JDE8,NA,7.378340187,-20.35531602
Lepatt,JDE9,NA,6.946003121,-19.07403649
Gwcabe,JDF1,NA,8.536235651,-20.09898622
Boumic,JDF2,NA,7.710734005,-19.49284956
Neomee,JDF7,F,6.735647458,-19.52052807
Neomee,JDF8,NA,6.954282621,-19.6350674
Neomee,JDF9,M,7.151133527,-19.83611244
Neomee,JDG1,F,7.256013192,-19.43400639
Neomee,JDG2,NA,6.650746168,-19.7755539
Neomee,JDG6,NA,6.762967253,-19.9404702
Neomee,JDG7,NA,7.028517661,-19.8143494
Neomee,JDG8,NA,6.799166972,-19.7494926
Neomee,JDG9,NA,6.727433569,-18.62808936
Neomee,JDH1,F,7.232872514,-19.66639047
LamorS,JDH4,M,7.070713355,-19.04746281
LamorS,JDH5,F,7.104163085,-18.66238831
LamorS,JDH6,F,7.222288476,-18.36986536
Neolap,JDH7,F,6.055163459,-17.38861201
Neolap,JDH8,F,6.074897539,-17.30439605
Lepatt,JDI6,M,7.935173658,-20.30100949
Lepatt,JDI7,M,7.951272214,-20.3266719
Lepatt,JDI8,M,7.64452806,-20.53918972
Lepatt,JDI9,F,7.502637134,-20.76951234
Chando,KEF4,F,6.987348727,-16.60496392
Chando,KEF5,M,7.327037302,-17.60949355
Chando,KEF6,M,7.405478885,-18.19778281
Chando,KEF7,F,5.985011257,-14.11239919
Chando,KEF8,F,5.785651821,-15.13654704
Chando,KEF9,M,6.413299476,-15.55772614
Chando,KEG1,F,5.963935726,-15.12764827
Chando,KEG2,F,6.662428661,-16.50830063
Chando,KEG4,F,6.288257719,-13.97534754
Troluk,KEG5,F,4.544602056,-16.22157097
Troluk,KEG6,M,5.272191067,-13.28027123
Troluk,KEG7,M,4.498771447,-14.13651166
Troluk,KEG8,F,4.363483537,-14.30407994
Troluk,KEG9,F,3.808077518,-15.05208669
XenspN,KEH2,M?,6.311524954,-15.72745242
Simbab,JUA2,M,8.814265788,-15.91185893
Simbab,JUA5,M,6.117070774,-14.25491537
Simbab,JUA6,F,6.119985072,-15.73796455
Simbab,JUA9,M,7.04988365,-16.32354724
Simbab,JUB1,F,8.813479977,-16.02901765
Simbab,JUB2,F,7.363531644,-17.30451035
Simbab,JUB3,F,7.562020595,-15.13271577
Simbab,JUB4,F,6.372070587,-16.51653935
Simbab,JUB5,M,6.555479767,-18.26887643
Spaery,JUC1,M,5.870974801,-13.34814174
Spaery,JUC2,F,6.293724629,-14.21967766
Spaery,JUC3,M,5.746522467,-13.67886667
Spaery,JUC4,M,5.552764787,-12.85818738
Spaery,JUC5,M,5.856197643,-13.3008968
Spaery,JUC6,F,6.343812466,-14.85162356
Spaery,JUC7,M,5.868347154,-13.38118368
Spaery,JUC8,M,6.775942793,-13.81199075
Spaery,JUC9,F,5.670451904,-14.98149468
Spaery,JUD1,F,5.615354016,-14.66956189
TeldhN,JUD7,NA,6.665695822,-20.74368271
TeldhN,JUD8,NA,7.104452583,-21.22132553
TeldhN,JUE5,NA,6.579938818,-21.28780686
TeldhN,JUE6,NA,6.533071619,-20.57185403
TeldhN,JUE7,NA,6.651735379,-20.52582849
TeldhN,JUF5,NA,6.867727181,-21.2674798
TeldhN,JUF6,NA,7.279489603,-21.62659316
TeldhN,JUF7,NA,6.828360168,-21.20352593
TeldhN,JUF8,NA,6.671756607,-20.8579629
Neobre,ILC2,M,6.478632684,-21.50429821
Neobre,ILC3,M,6.71782621,-21.12419984
Neobre,ILC4,M,6.059836895,-21.52264076
Neobre,ILC5,M,6.044170286,-21.49206985
Neobre,ILC6,M,5.93155688,-22.09839299
Neobre,ILC7,M,6.777031371,-21.89624215
Neobre,ILC8,F,6.769822182,-21.47745355
Neobre,ILC9,F,6.3484616,-21.78062586
Neobre,ILD1,F,6.47897029,-21.57029015
Neobre,ILD2,F,5.761215795,-22.09614364
Lamoce,ILD4,M,6.535740514,-19.8484149
Lamoce,ILD5,M,6.752585981,-19.69223739
Lamoce,ILD6,M,5.88708553,-18.74764326
LamorS,ILD7,M,6.831896909,-19.32159495
Neomod,ILE4,M,7.723795702,-14.65411294
Neokom,ILE7,M?,6.703818424,-18.78439293
Neokom,ILE8,M?,6.144974809,-20.44764848
Neokom,ILE9,NA,6.215378805,-19.32397295
Neokom,ILF1,NA,6.790574794,-19.18380209
Neokom,ILF2,NA,6.449777424,-20.14656146
Neokom,ILF3,NA,6.404471032,-18.34908854
Neokom,ILF4,NA,6.415333169,-19.38201571
Neokom,ILF5,NA,6.600258576,-18.99765469
Neokom,ILF6,NA,6.527277033,-19.2313037
Neomux,ILI7,NA,6.26149297,-17.11949406
Neosex,ILI8,NA,6.228416635,-18.84545572
Neokom,INA2,NA,6.686413227,-18.74056474
Julkom,INA4,M,6.887068551,-19.7751008
Julkom,INA5,NA,6.49517899,-20.05227683
Neolap,JBG6,M,6.493069389,-18.41357876
Neolap,JBG7,M,6.868188321,-19.43362828
Neolap,JBG8,M,6.72559137,-18.26887643
Neolap,JBH1,M,6.420083823,-18.31982796
Neolap,JBH2,M,6.380430378,-18.43090228
Neolap,JBH3,F,6.251288825,-18.23061249
Gwcabe,ILH2,NA,9.053827102,-19.80136264
Gralem,ILH3,M,7.432497521,-18.27279778
Benhor,ILH4,M,6.944244286,-20.18627992
Benhor,ILH5,M,6.677904691,-20.5572734
Benhor,ILH6,M,6.827349887,-21.04151649
Benhor,ILH7,M,6.713461161,-21.70188208
Benhor,ILH8,M,7.014191907,-20.62001548
Benhor,ILH9,M,6.586055352,-20.85304255
Benhor,ILI1,F,6.905529722,-20.68089814
Benhor,ILI3,F,6.888426911,-20.33623498
Boumic,ILI5,NA,6.714605154,-20.6605646
Boumic,ILI6,NA,7.426111235,-20.21024321
Altcal,IOB5,NA,5.778177078,-18.50888944
Altcal,IOB6,NA,6.118031846,-17.84719083
Chabif,LDH9,F,6.2912506,-17.08817649
Chabif,LDI1,F,6.414436134,-14.11485834
Chabif,LDI2,M,6.84807689,-16.08871396
Neocyg,LDI3,F,6.183263892,-19.31477661
Julmrk,LDI4,M,6.64767883,-21.09331392
Trompi,LDI5,M,5.257074294,-15.34745443
Trompi,LDI6,M,4.611563944,-10.46492984
Trompi,LDI7,F,4.781515691,-10.25450228
Trompi,LDI8,F,4.663913678,-10.9605576
Trompi,LDI9,F,4.329882666,-9.702727151
Trompi,LFA1,M,4.378317531,-12.37079318
Trompi,LFA2,F,4.264657371,-14.95489147
Trompi,LFA3,F,4.844763699,-11.85679017
Trompi,LFA4,M,3.954872055,-9.500481881
Trompi,LFA5,M,5.025136492,-12.56177168
Petiko,LFA6,M,3.427039057,-11.63431824
Petiko,LFA7,M,3.533362697,-11.59902392
Petiko,LFA8,F,3.234108763,-11.86473606
Petiko,LFA9,F,4.232258968,-10.86246295
Trezeb,LFC9,M,6.589358695,-19.54266454
Neocyg,LFD2,M,6.846103089,-18.65387163
Neocyg,LFD3,M,6.790203585,-17.16842238
Neocyg,LFD4,F,6.909539196,-18.47199721
Neocyg,LFD5,M,6.77308708,-17.63442702
Neocyg,LFD6,F,6.113351748,-17.86522952
Neocyg,LFD7,M,6.78083147,-18.81610127
Neocyg,LFD8,F,6.7551261,-17.72665986
Trezeb,LFE4,F,6.356811108,-19.22880315
Trezeb,LFE5,F,7.309613014,-19.32459201
Trezeb,LFE6,F,6.784226134,-20.00122825
Trezeb,LFE7,F,7.727758422,-18.99686734
Trezeb,LFE8,F,6.42864083,-20.01676885
Trezeb,LFE9,F,6.622170247,-19.54411856
Trezeb,LFF2,F,7.357576967,-19.43803183
Trezeb,LFF3,F,7.13229128,-19.90228444
Trezeb,LFF5,M,5.144775434,-17.10921975
Julmrk,LFF6,F,6.655687322,-21.47466089
Mdcten,LHG8,M,6.218036554,-21.86505634
Mdcten,LHG9,M,6.291573177,-22.15943277
Mdcten,LHH1,F,6.32031168,-22.14589609
Mdcten,LHH2,M,6.251137068,-21.97833226
Mdcten,LHH3,F,6.304212923,-22.08482772
Mdcten,LHH4,M,6.159713157,-22.12336017
Mdcten,LHH5,F,6.552142263,-21.9637848
Mdcten,LHH6,M,6.239802429,-22.06899998
Mdcten,LHH7,M,6.260014131,-22.19953959
Mdcten,LHH8,F,6.152905689,-21.87112707
Tylpol,LHF3,M,5.687269155,-16.1603566
Neobif,LHF4,F,7.480723438,-20.49590717
Neobif,LHF5,M,7.065737759,-20.40884045
Neobif,LHF6,M,7.619758512,-20.13268319
Neobif,LHF7,F,8.234726675,-20.39553191
Neobif,LHF8,M,7.809304078,-19.96556219
Neobif,LHF9,M,7.22594901,-19.92480097
Neobif,LHG1,M,7.349206162,-20.27534745
Neobif,LHG2,F,7.260830907,-20.2324067
Neobif,LHG3,M,7.404312504,-20.3861188
Batfas,GPB2,F,7.9,-20.8
Batfas,GPB3,NA,7.8,-20.1
Neotet,IPI5,NA,6.884324414,-16.96742283
Tromoo,JBH6,M,5.765385259,-15.05291123
Tromoo,JBH7,M,6.026799794,-14.92749306
Tromoo,JBH9,NA,6.057510579,-14.68121643
Tromoo,JBI1,NA,5.716933897,-15.02148436
Julorn,JBI2,NA,6.764416093,-17.33165606
Julorn,JBI3,NA,6.66070995,-20.48184853
Julorn,JBI4,NA,7.31186487,-18.79526821
Julorn,JBI5,NA,7.37668121,-19.97454481
Julorn,JBI6,NA,6.727520638,-19.87328862
Boumic,JBI7,NA,8.052205877,-19.63547684
Boumic,JBI8,NA,7.730316536,-19.59268866
Cphgib,JED6,M,7.5105376,-19.68095045
Hapmic,JED7,M,7.470693428,-19.21037161
Hapmic,JED8,F,7.281583666,-19.48586201
Hapmic,JED9,M,7.33774796,-20.00304317
Lepken,JEE1,M,7.828612201,-20.83918048
Lamcal,JEE3,F,6.627657602,-17.80754386
Lamcal,JEE4,F,6.854898596,-18.81846714
Lamcal,JEE5,F,6.385400818,-20.49802137
Lamcal,JEE6,F,8.34748452,-17.66075796
Xenoch,JVH5,M,8.371126422,-18.41027283
Xenoch,JVH6,M,7.835035598,-18.32123789
Xenoch,JVH7,M,7.972053266,-18.35883812
Xenoch,JVH9,M,7.381742845,-18.32982458
Xenoch,JVI1,M,8.232855298,-19.07905454
Xenoch,JVI3,M,7.558300085,-18.39694744
Xenoch,JVI4,F,7.761224635,-18.56866161
Xenoch,JVI6,F,7.731124388,-18.44761869
Xenoch,JVI7,F,8.763137167,-19.32581263
Xenoch,JVI8,F,7.43389867,-18.78291489
Lepken,JBB6,M,8.627622033,-20.37404983
Petfas,JBB9,NA,6.884048682,-13.839596
Psccur,JBC1,F,4.505143841,-8.745220298
Psccur,JBC2,M,5.203843569,-8.985095301
Psccur,JBC3,F,4.724918082,-8.267855006
Cphgib,JEA8,NA,7.482417069,-19.87692445
Cphgib,JEA9,NA,7.745965922,-20.57172305
Cphgib,JEB1,NA,8.14649801,-20.81383851
Cyppav,JEB6,M,6.622987877,-21.60506444
Cyppav,JEB7,M,6.594548897,-21.66983021
Cyppav,JEB8,M,6.730997735,-21.74163685
Cyppav,JEB9,F,6.695240874,-21.56966333
Cyppav,JEC1,F,6.753280067,-21.35056317
Cyppav,JEC2,M,6.663086717,-21.53749656
Cyppav,JEC3,M,6.790610424,-21.45088185
Cyppav,JEC4,M,6.9291315,-21.53698313
Cyppav,JEC5,M,6.847045095,-21.17617193
Tremar,GPA5,F,6.242058096,-15.35863746
Tremar,GPA7,M,6.261458035,-18.42607267
Tremar,GPA8,M,6.316297716,-16.3378049
Tremar,GPA9,F,5.7329228,-12.87112301
Tremar,GPB1,M,5.8,-14.3
Tylpol,GPB4,M,7.140002062,-17.71147937
Tylpol,GPB5,F,6.917921821,-17.80667893
Limdar,GPB6,F,5.103043849,-16.56291962
Limdar,GPB7,F,7.530615922,-18.88978739
Limdar,GPB8,F,8.087207591,-20.11871683
Limdar,GPB9,F,6.937986743,-18.16623297
Limdar,GPC1,M,7.702201379,-19.60480291
Limdar,GPC2,M,7.748949777,-19.25271684
Limdar,GPC3,M,7.100850271,-18.44517175
Neopro,LBF9,M,7.561965563,-17.5597063
Neopro,LBG1,F,8.181093869,-17.74313824
Plemul,LIA6,F,9.384929064,-19.22830582
Perecc,LIA7,F?,9.917047411,-18.67753644
Perecc,LIA8,M,9.606051678,-19.0453658
Perecc,LIA9,M,9.023873723,-19.45378736
Perecc,LIB1,M,8.839643743,-19.78185348
Perecc,LIB2,M,9.130890454,-19.48046553
Oretan,LIB3,M,4.629632888,-15.70546854
Oretan,LIB4,F,5.435181079,-21.76013482
Oretan,LIB5,NA,4.697048959,-16.71773022
Tylpol,LIC8,M,6.820888613,-20.00323326
Tylpol,LIC9,M,6.190315362,-17.18853072
Tylpol,LID1,M,6.73103604,-16.88025442
Tylpol,LJA1,F,6.576517203,-17.37174773
Petiko,LFB1,F,4.630136277,-10.52393399
Petiko,LFB2,M,4.764947805,-11.46692917
Petiko,LFB3,F,4.498349724,-11.56490291
Petiko,LFB4,F,4.846793273,-11.74783806
Petiko,LFB5,M,4.484898481,-11.0856248
Petiko,LFB6,M,4.927804755,-10.85261044
Neoese,LFB7,M,6.987479723,-13.01866527
Neoese,LFB8,M,7.166250384,-12.98969127
Neoese,LFB9,F,7.344644484,-16.85090146
Neoese,LFC1,F,7.155402739,-14.90077859
Neoese,LFC2,F,5.881553484,-8.615219994
Neoese,LFC3,F,6.728325598,-13.74726169
Neoese,LFC4,M,7.197861234,-12.19533927
Neoese,LFC5,M,6.567177815,-10.99144816
Neoese,LFC6,M,7.04230705,-14.48087534
Neoese,LFC7,M,6.817353454,-16.12942419
Neocyg,LFC8,M,7.421098101,-15.34668936
Plemul,LCH5,M,8.465941888,-20.21734964
Plemul,LCH6,M,8.513191057,-20.09235952
Plemul,LCH7,M,8.646088343,-19.74071868
Chacya,LGC7,M,5.738471877,-19.86867206
Chacya,LGC8,M,5.560462123,-20.93000254
Leppro,LGC9,F,7.787764902,-18.4613968
Leppro,LGD1,F,7.511108999,-19.15926766
Petkip,LGD2,M,3.590749285,-14.36541609
Petkip,LGD3,F,3.900910945,-13.61926619
Petkip,LGD4,M,3.667198726,-13.90172836
Lepmim,LGD5,M,7.281552921,-20.73545676
Oretan,LGD7,F,5.189046931,-18.07351165
Oretan,LGD8,F,5.267452664,-17.87811514
Oretan,LGD9,F,5.233708435,-17.47470413
Neochi,KHB2,F,6.257341471,-18.3398769
Neochi,KHB3,F,6.235364286,-19.09756248
Neochi,KHB4,M,5.747358711,-20.04528679
Neochi,KHB5,F,6.699888552,-19.42597249
Neochi,KHB6,F,6.030282689,-19.10639759
Neochi,KHB7,M,6.156564083,-19.34405626
Neochi,KHB8,M,6.01403624,-19.96375837
Neochi,KHB9,M,5.476687221,-20.18951278
Neochi,KHC1,F,5.869981776,-18.55170854
Neochi,KHC2,F,7.165555292,-18.75453192
JulreK,KHC3,F,6.159666626,-17.23636511
EctspN,KHC8,M,7.072747738,-18.62719406
EctspN,KHC9,M,7.006317848,-18.42374207
EctspN,KHD1,F,7.14301853,-18.51744948
EctspN,KHD2,F,6.910181367,-19.08667404
EctspN,KHD3,F,7.038418601,-20.18594767
EctspN,KHD4,F,6.856016456,-18.15272219
EctspN,KHD5,M,7.214484911,-20.3418946
EctspN,KHD6,F,6.970238834,-18.82712
EctspN,KHD7,F,6.76298839,-18.87248326
EctspN,KHD8,F,6.272648019,-20.61623598
Trodub,KHD9,F,4.580360014,-13.57480968
Trodub,KHE1,M,4.547310386,-16.03731218
Trodub,KHE2,F,4.31901179,-13.65850598
Pscmrg,KHE3,F,4.594549859,-13.46599546
Pscmrg,KHE4,M,4.576480568,-11.93236104
Pscmrg,KHE5,M,4.65913439,-13.4641602
Mdcrot,JBF2,NA,6.778845697,-22.85886153
Mdcrot,JBF3,NA,6.702643499,-22.95324305
Mdcrot,JBF4,NA,6.745551021,-22.90945547
Mdcrot,JBF5,NA,6.978478764,-22.85550273
Limdar,JBF6,NA,6.616434218,-18.3436453
Xensin,IRD9,M,6.609964381,-15.86614211
Xensin,IRE1,F,5.847983107,-16.45471434
Xensin,IRE2,M,6.507630334,-15.88901147
Xensin,IRE3,F,5.994901698,-16.47293435
Ectdes,IRE5,M,6.181189957,-17.33717166
Ectdes,IRE6,F,6.131756,-16.46317525
Ectdes,IRE7,M,5.368492824,-16.54216469
Ectdes,IRE8,F,6.007441209,-17.23742985
Ectdes,IRE9,F,6.176986418,-17.67613645
Ectdes,IRF1,F,6.227180124,-18.48582579
Ectdes,IRF2,F,5.796022316,-17.30440506
Ectdes,IRF3,F,5.33428685,-20.39690869
Ectdes,IRF4,M,5.398039971,-20.11916084
Ectdes,IRF5,F,5.580550523,-18.22410815
Xensin,LJB4,M,5.868215372,-13.82537439
Xensin,LJB5,M,5.902964834,-16.30403435
Xensin,LJB6,M,6.198582169,-16.39404629
Xensin,LJB7,M,5.664769522,-17.52596932
